"","x"
"1",0.193548387096774
"2",0.209677419354839
"3",0.193548387096774
"4",0.17741935483871
"5",0.225806451612903
"6",0.173913043478261
"7",0.193548387096774
"8",0.231481481481482
"9",0.246913580246914
"10",0.17741935483871
"11",0.193548387096774
"12",0.17741935483871
"13",0.258333333333333
"14",0.2625
"15",0.216981132075472
"16",0.251748251748252
"17",0.23469387755102
"18",0.161290322580645
"19",0.208695652173913
"20",0.225806451612903
"21",0.215189873417722
"22",0.209677419354839
"23",0.209677419354839
"24",0.225806451612903
"25",0.271844660194175
"26",0.217821782178218
"27",0.17741935483871
"28",0.202127659574468
"29",0.209677419354839
"30",0.204545454545455
"31",0.17741935483871
"32",0.184782608695652
"33",0.0645161290322581
"34",0.338709677419355
"35",0.213592233009709
"36",0.129032258064516
"37",0.225806451612903
"38",0.193548387096774
"39",0.161290322580645
"40",0.193548387096774
"41",0.231707317073171
"42",0.232558139534884
"43",0.278350515463918
"44",0.225806451612903
"45",0.225806451612903
"46",0.2
"47",0.275229357798165
"48",0.145161290322581
"49",0.145161290322581
"50",0.211538461538462
"51",0.193548387096774
"52",0.193548387096774
"53",0.209677419354839
"54",0.23943661971831
"55",0.161290322580645
"56",0.209677419354839
"57",0.222222222222222
"58",0.17741935483871
"59",0.209677419354839
"60",0.209677419354839
"61",0.225806451612903
"62",0.209677419354839
"63",0.209677419354839
"64",0.258064516129032
"65",0.224719101123595
"66",0.29
"67",0.242105263157895
"68",0.241935483870968
"69",0.227586206896552
"70",0.193548387096774
"71",0.238532110091743
"72",0.193548387096774
"73",0.241935483870968
"74",0.129032258064516
"75",0.198019801980198
"76",0.193548387096774
"77",0.233644859813084
"78",0.129032258064516
"79",0.209677419354839
"80",0.225806451612903
"81",0.2125
"82",0.225806451612903
"83",0.258064516129032
"84",0.129032258064516
"85",0.256410256410256
"86",0.225806451612903
"87",0.193548387096774
"88",0.17741935483871
"89",0.145161290322581
"90",0.274193548387097
"91",0.209677419354839
"92",0.283783783783784
"93",0.290322580645161
"94",0.161290322580645
"95",0.205882352941177
"96",0.32258064516129
"97",0.274193548387097
"98",0.17741935483871
"99",0.296296296296296
"100",0.17741935483871
"101",0.238532110091743
"102",0.217391304347826
"103",0.216417910447761
"104",0.193548387096774
"105",0.225806451612903
"106",0.145161290322581
"107",0.276785714285714
"108",0.179775280898876
"109",0.193548387096774
"110",0.17741935483871
"111",0.25
"112",0.230769230769231
"113",0.193548387096774
"114",0.220588235294118
"115",0.214285714285714
"116",0.257575757575758
"117",0.193548387096774
"118",0.193548387096774
"119",0.193548387096774
"120",0.258064516129032
"121",0.208333333333333
"122",0.185714285714286
"123",0.209677419354839
"124",0.193548387096774
"125",0.194444444444444
"126",0.25
"127",0.25
"128",0.193548387096774
"129",0.209677419354839
"130",0.214285714285714
"131",0.145161290322581
"132",0.17741935483871
"133",0.209677419354839
"134",0.193548387096774
"135",0.209677419354839
"136",0.193548387096774
"137",0.193548387096774
"138",0.193548387096774
"139",0.17741935483871
"140",0.264705882352941
"141",0.23134328358209
"142",0.24468085106383
"143",0.209677419354839
"144",0.225806451612903
"145",0.217391304347826
"146",0.218487394957983
"147",0.241935483870968
"148",0.209677419354839
"149",0.290322580645161
"150",0.306451612903226
"151",0.206349206349206
"152",0.222222222222222
"153",0.23972602739726
"154",0.209580838323353
"155",0.21875
"156",0.234567901234568
"157",0.225806451612903
"158",0.175675675675676
"159",0.17741935483871
"160",0.166666666666667
"161",0.208333333333333
"162",0.169230769230769
"163",0.230769230769231
"164",0.274193548387097
"165",0.241379310344828
"166",0.163841807909605
"167",0.228070175438597
"168",0.183908045977011
"169",0.2
"170",0.235294117647059
"171",0.221052631578947
"172",0.09375
"173",0.224299065420561
"174",0.225352112676056
"175",0.17741935483871
"176",0.228571428571429
"177",0.243243243243243
"178",0.241935483870968
"179",0.25
"180",0.175675675675676
"181",0.161290322580645
"182",0.197183098591549
"183",0.161290322580645
"184",0.176470588235294
"185",0.236486486486487
"186",0.209876543209877
"187",0.192307692307692
"188",0.225
"189",0.193548387096774
"190",0.225806451612903
"191",0.204081632653061
"192",0.193548387096774
"193",0.17741935483871
"194",0.209677419354839
"195",0.258064516129032
"196",0.251908396946565
"197",0.173913043478261
"198",0.0806451612903226
"199",0.290322580645161
"200",0.218487394957983
"201",0.161290322580645
"202",0.175675675675676
"203",0.258064516129032
"204",0.15625
"205",0.230769230769231
"206",0.193548387096774
"207",0.17741935483871
"208",0.136363636363636
"209",0.129032258064516
"210",0.241935483870968
"211",0.129032258064516
"212",0.241935483870968
"213",0.191780821917808
"214",0.209677419354839
"215",0.27
"216",0.0967741935483871
"217",0.161290322580645
"218",0.258064516129032
"219",0.225352112676056
"220",0.193548387096774
"221",0.193548387096774
